,Daily Summary,Dates
0,Mostly cloudy throughout the day.,2023-04-28
1,Mostly cloudy throughout the day.,2023-04-29
2,Mostly cloudy throughout the day.,2023-04-30
3,Partly cloudy throughout the day.,2023-05-01
4,Partly cloudy throughout the day.,2023-05-02
5,Partly cloudy throughout the day.,2023-05-03
6,Partly cloudy starting in the morning.,2023-05-04
7,Mostly cloudy throughout the day.,2023-05-05
8,Partly cloudy throughout the day.,2023-05-06
9,Mostly cloudy throughout the day.,2023-05-07
10,Mostly cloudy throughout the day.,2023-05-08
11,Mostly cloudy throughout the day.,2023-05-09
12,Partly cloudy throughout the day.,2023-05-10
13,Mostly cloudy throughout the day.,2023-05-11
14,Partly cloudy throughout the day.,2023-05-12
